Ocean,Species,Stock,Year,Variable,Value,Model,Run,RFMO
Atlantic,ALB,South Atlantic,1973,Bratio,1.58E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1974,Bratio,1.53E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1975,Bratio,1.56E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1976,Bratio,1.62E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1977,Bratio,1.65E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1978,Bratio,1.65E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1979,Bratio,1.64E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1980,Bratio,1.64E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1981,Bratio,1.63E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1982,Bratio,1.62E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1983,Bratio,1.55E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1984,Bratio,1.63E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1985,Bratio,1.70E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1986,Bratio,1.61E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1987,Bratio,1.47E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1988,Bratio,1.31E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1989,Bratio,1.27E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1990,Bratio,1.26E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1991,Bratio,1.23E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1992,Bratio,1.23E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1993,Bratio,1.13E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1994,Bratio,1.07E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1995,Bratio,9.86E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1996,Bratio,9.79E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1997,Bratio,9.62E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1998,Bratio,9.50E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1999,Bratio,9.12E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2000,Bratio,9.03E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2001,Bratio,8.57E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2002,Bratio,7.34E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2003,Bratio,6.74E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2004,Bratio,6.46E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2005,Bratio,6.70E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2006,Bratio,7.33E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2007,Bratio,7.45E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2008,Bratio,8.01E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2009,Bratio,8.74E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2010,Bratio,9.17E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2011,Bratio,9.91E-01,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2012,Bratio,1.02E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2013,Bratio,1.03E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,2014,Bratio,1.11E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1956,Bratio,1.80E+00,ASPIC,Run7,ICCAT
Atlantic,ALB,South Atlantic,1957,Bratio,1.85E+00,ASPIC,Run7,ICCAT
Atlantic,ALB,South Atlantic,1958,Bratio,1.89E+00,ASPIC,Run7,ICCAT
Atlantic,ALB,South Atlantic,1959,Bratio,1.91E+00,ASPIC,Run7,ICCAT
Atlantic,ALB,South Atlantic,1960,Bratio,1.91E+00,ASPIC,Run7,ICCAT
Atlantic,ALB,South Atlantic,1961,Bratio,1.88E+00,ASPIC,Run7,ICCAT
Atlantic,ALB,South Atlantic,1962,Bratio,1.85E+00,ASPIC,Run7,ICCAT
Atlantic,ALB,South Atlantic,1963,Bratio,1.79E+00,ASPIC,Run7,ICCAT
Atlantic,ALB,South Atlantic,1964,Bratio,1.75E+00,ASPIC,Run7,ICCAT
